x	y	g	gxx	gyy	gzz	gxy	gxz	gyz	
3.5	9.5	-0.542754	-0.136534	1.53735	-1.40081	0.729896	-2.91568	-0.989929	
3.5	10.5	-0.552173	-0.144331	1.61194	-1.46761	0.667797	-2.99564	-0.89222	
3.5	11.5	-0.56057	-0.152315	1.67926	-1.52694	0.602166	-3.06739	-0.785886	
3.5	12.5	-0.567865	-0.160857	1.7386	-1.57774	0.53341	-3.13004	-0.671882	
3.5	13.5	-0.573986	-0.170303	1.78935	-1.61905	0.461908	-3.1828	-0.551336	
3.5	14.5	-0.578874	-0.180937	1.83102	-1.65009	0.388011	-3.22501	-0.425531	
3.5	15.5	-0.582484	-0.192951	1.86322	-1.67027	0.312039	-3.25617	-0.295865	
3.5	16.5	-0.584783	-0.206411	1.88566	-1.67925	0.234292	-3.27595	-0.163819	
3.5	17.5	-0.585757	-0.221244	1.89815	-1.67691	0.155068	-3.28417	-0.0309127	
3.5	18.5	-0.585404	-0.237232	1.90059	-1.66336	0.07468	-3.28085	0.101336	
3.5	19.5	-0.583737	-0.254021	1.89298	-1.63896	-0.00652421	-3.26614	0.23145	
3.5	20.5	-0.580787	-0.271145	1.87541	-1.60426	-0.0881439	-3.24037	0.358033	
3.5	21.5	-0.576593	-0.288059	1.84809	-1.56003	-0.169717	-3.20402	0.479796	
3.5	22.5	-0.571211	-0.304177	1.81134	-1.50716	-0.250717	-3.15769	0.595592	
3.5	23.5	-0.564704	-0.318911	1.76558	-1.44667	-0.330561	-3.10209	0.70443	
3.5	24.5	-0.557148	-0.331715	1.71138	-1.37967	-0.408626	-3.03801	0.80549	
3.5	25.5	-0.548622	-0.342112	1.6494	-1.30729	-0.484264	-2.96633	0.89813	
3.5	26.5	-0.539215	-0.349723	1.58041	-1.23069	-0.556835	-2.88795	0.981887	
3.5	27.5	-0.529015	-0.354277	1.50527	-1.15099	-0.625725	-2.80383	1.05647	
3.5	28.5	-0.518116	-0.355622	1.42491	-1.06928	-0.690374	-2.71489	1.12176	
3.5	29.5	-0.506611	-0.353718	1.34029	-0.986568	-0.750293	-2.62209	1.17777	
3.5	30.5	-0.494591	-0.348628	1.2524	-0.903773	-0.805082	-2.52631	1.22467	
3.5	31.5	-0.482147	-0.340506	1.16223	-0.821728	-0.854438	-2.42844	1.26272	
3.5	32.5	-0.469365	-0.329578	1.07074	-0.741163	-0.898159	-2.32929	1.2923	
3.5	33.5	-0.456328	-0.316126	0.978829	-0.662703	-0.936143	-2.2296	1.31387	
3.5	34.5	-0.443113	-0.300469	0.887341	-0.586872	-0.968383	-2.13007	1.32792	
3.5	35.5	-0.429793	-0.282947	0.797041	-0.514095	-0.994958	-2.03131	1.33502	
3.5	36.5	-0.416434	-0.263906	0.70861	-0.444704	-1.01603	-1.93386	1.33574	
3.5	37.5	-0.403097	-0.243689	0.622638	-0.378948	-1.0318	-1.83822	1.33069	
3.5	38.5	-0.389837	-0.222625	0.53962	-0.316995	-1.04257	-1.74476	1.32045	
3.5	39.5	-0.376703	-0.20102	0.459967	-0.258947	-1.04863	-1.65385	1.30563	
3.5	40.5	-0.363738	-0.179155	0.383998	-0.204843	-1.05032	-1.56574	1.28677	
3.5	41.5	-0.350979	-0.157282	0.311953	-0.154671	-1.04802	-1.48066	1.26444	
3.5	42.5	-0.338459	-0.135623	0.243999	-0.108375	-1.04207	-1.39877	1.23915	
3.5	43.5	-0.326205	-0.114369	0.180232	-0.0658628	-1.03286	-1.32018	1.21139	
3.5	44.5	-0.314238	-0.0936813	0.120693	-0.0270119	-1.02075	-1.24497	1.18159	
3.5	45.5	-0.302578	-0.0736918	0.0653694	0.00832234	-1.00609	-1.17315	1.15018	
